2018-12-18,22
2018-12-17,0
2018-12-16,4
2018-12-15,218
2018-12-14,11
2018-12-13,11
2018-12-12,14
2018-12-11,4
2018-12-10,5
2018-12-09,15
2018-12-08,104
2018-12-07,19
2018-12-06,8
2018-12-05,3
2018-12-04,24
2018-12-03,66
2018-12-02,40
2018-12-01,69
2018-11-30,8
2018-11-29,13
2018-11-28,10
2018-11-27,18
2018-11-26,72
2018-11-25,31
2018-11-24,402
2018-11-23,42
2018-11-22,56
2018-11-21,19
2018-11-20,76
2018-11-19,11
2018-11-18,0
2018-11-17,0
2018-11-16,6
2018-11-15,7
2018-11-14,32
2018-11-13,102
2018-11-12,198
2018-11-11,22
2018-11-10,82
2018-11-09,213
2018-11-08,52
2018-11-07,13
2018-11-06,0
2018-11-05,6
2018-11-04,0
2018-11-03,7
2018-11-02,25
2018-11-01,29
2018-10-31,9
2018-10-30,14
2018-10-29,4
2018-10-28,4
